
--- DATASET SUMMARY ---
Classes: 105
Train: 3675 | Val: 450 | Test: 505
Input dim: 1482
Using Device: cpu
-----------------------

E080 | Train acc: 1.0000 | Loss: 0.6765 | Val acc: 0.9289
E081 | Train acc: 0.9997 | Loss: 0.6770 | Val acc: 0.9378
E082 | Train acc: 1.0000 | Loss: 0.6760 | Val acc: 0.9333
E083 | Train acc: 1.0000 | Loss: 0.6740 | Val acc: 0.9333
E084 | Train acc: 1.0000 | Loss: 0.6727 | Val acc: 0.9267
E085 | Train acc: 1.0000 | Loss: 0.6728 | Val acc: 0.9333
E086 | Train acc: 1.0000 | Loss: 0.6721 | Val acc: 0.9311
E087 | Train acc: 0.9997 | Loss: 0.6730 | Val acc: 0.9244
E088 | Train acc: 1.0000 | Loss: 0.6716 | Val acc: 0.9267
E089 | Train acc: 1.0000 | Loss: 0.6712 | Val acc: 0.9311
E090 | Train acc: 1.0000 | Loss: 0.6706 | Val acc: 0.9333
E091 | Train acc: 1.0000 | Loss: 0.6696 | Val acc: 0.9356
E092 | Train acc: 1.0000 | Loss: 0.6703 | Val acc: 0.9333
E093 | Train acc: 1.0000 | Loss: 0.6693 | Val acc: 0.9333
E094 | Train acc: 1.0000 | Loss: 0.6696 | Val acc: 0.9289
E095 | Train acc: 0.9992 | Loss: 0.6748 | Val acc: 0.9333
E096 | Train acc: 1.0000 | Loss: 0.6687 | Val acc: 0.9333
E097 | Train acc: 1.0000 | Loss: 0.6682 | Val acc: 0.9289
E098 | Train acc: 1.0000 | Loss: 0.6680 | Val acc: 0.9378
E099 | Train acc: 1.0000 | Loss: 0.6681 | Val acc: 0.9311
E100 | Train acc: 1.0000 | Loss: 0.6677 | Val acc: 0.9400
E101 | Train acc: 1.0000 | Loss: 0.6665 | Val acc: 0.9289
E102 | Train acc: 1.0000 | Loss: 0.6673 | Val acc: 0.9356
E103 | Train acc: 1.0000 | Loss: 0.6665 | Val acc: 0.9356
E104 | Train acc: 1.0000 | Loss: 0.6671 | Val acc: 0.9356
E105 | Train acc: 1.0000 | Loss: 0.6666 | Val acc: 0.9356
E106 | Train acc: 1.0000 | Loss: 0.6663 | Val acc: 0.9356
E107 | Train acc: 1.0000 | Loss: 0.6663 | Val acc: 0.9378
E108 | Train acc: 1.0000 | Loss: 0.6660 | Val acc: 0.9289
E109 | Train acc: 1.0000 | Loss: 0.6662 | Val acc: 0.9333
E110 | Train acc: 1.0000 | Loss: 0.6663 | Val acc: 0.9356
E111 | Train acc: 1.0000 | Loss: 0.6663 | Val acc: 0.9333
E112 | Train acc: 1.0000 | Loss: 0.6658 | Val acc: 0.9311
E113 | Train acc: 1.0000 | Loss: 0.6654 | Val acc: 0.9333
E114 | Train acc: 1.0000 | Loss: 0.6656 | Val acc: 0.9356
E115 | Train acc: 1.0000 | Loss: 0.6654 | Val acc: 0.9356
E116 | Train acc: 1.0000 | Loss: 0.6653 | Val acc: 0.9356
E117 | Train acc: 1.0000 | Loss: 0.6663 | Val acc: 0.9333
E118 | Train acc: 1.0000 | Loss: 0.6659 | Val acc: 0.9333
E119 | Train acc: 1.0000 | Loss: 0.6655 | Val acc: 0.9333
E120 | Train acc: 1.0000 | Loss: 0.6657 | Val acc: 0.9356

🎯 FINAL TEST ACC: 0.9287
📁 Saved everything to: training_outputs
